,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Gears,Seating_Capacity,Type,Boot_Space,Number_of_Airbags
598,1211599,1461,4,50,Diesel,1697,4498,1751,MUV,4,21.04,6,5,Manual,759,2
599,1211599,1461,4,50,Diesel,1697,4498,1751,MUV,4,21.04,6,7,Manual,207,2
600,1053899,1461,4,50,Diesel,1697,4498,1751,MUV,4,21.04,5,8,Manual,207,2
601,1130099,1461,4,50,Diesel,1697,4498,1751,MUV,4,21.04,5,8,Manual,207,2
602,964199,1461,4,50,Diesel,1697,4498,1751,MUV,4,21.04,5,7,Manual,207,0
603,876500,1598,4,55,Petrol,1467,4390,1699,Sedan,5,12.1,5,5,Manual,494,2
604,999900,1598,4,55,Petrol,1467,4390,1699,Sedan,4,93.25,5,5,Manual,494,2
605,999900,1598,4,55,Petrol,1467,4390,1699,Sedan,4,93.25,5,5,Manual,494,2
606,1197500,1197,4,55,Petrol,1467,4390,1699,Sedan,4,93.25,7,5,Automatic,494,2
607,1449500,1197,4,55,Petrol,1467,4390,1699,Sedan,4,93.25,7,5,Automatic,494,2
608,958500,1498,4,55,Diesel,1467,4390,1699,Sedan,4,93.25,5,5,Manual,494,2
609,999900,1498,4,55,Diesel,1467,4390,1699,Sedan,4,93.25,5,5,Manual,494,2
610,1210500,1498,4,55,Diesel,1467,4390,1699,Sedan,4,93.25,5,5,Manual,494,2
611,1336500,1498,4,55,Diesel,1467,4390,1699,Sedan,4,93.25,7,5,Automatic,494,2
612,1317500,1498,4,55,Diesel,1467,4390,1699,Sedan,4,93.25,5,5,Automatic,494,2
613,1449500,1498,4,45,Diesel,1469,3971,1682,Hatchback,5,19,5,5,Manual,250,2
614,1317500,1197,4,45,Petrol,1469,3971,1682,Hatchback,5,17,7,5,Automatic,280,2
615,881425,1859,4,52,Electric,1585,3390,1575,Hatchback,4,80,5,4,Automatic,135,0
616,957177,1859,4,52,Electric,1585,3390,1575,Hatchback,4,80,5,4,Automatic,135,0
617,960868,1859,4,35,Electric,1537,3992,1677,Sedan,5,93.25,5,5,Automatic,255,2
618,975868,1859,4,35,Electric,1537,3992,1677,Sedan,5,93.25,5,5,Automatic,255,2
619,944175,1859,4,35,Electric,1537,3992,1677,Sedan,5,93.25,5,5,Automatic,255,1
620,952900,1497,4,42,Petrol,1666,4453,1735,SUV,5,12,7,7,Manual,223,2
621,1052900,1497,4,42,Petrol,1666,4453,1735,SUV,5,12,7,7,Manual,223,2
622,1167900,1497,4,42,Petrol,1666,4453,1735,SUV,5,12,7,7,Manual,223,2
623,1271900,1497,4,42,Petrol,1666,4456,1735,SUV,5,12,7,7,Manual,223,2
624,1285900,1497,4,42,Petrol,1666,4456,1735,SUV,5,12,7,7,Automatic,223,2
625,1187900,1498,4,42,Diesel,1666,4453,1735,SUV,5,16.2,7,7,Manual,223,2
626,1273900,1498,4,42,Diesel,1666,4453,1735,SUV,5,16.2,7,7,Manual,223,2
627,1382900,1498,4,42,Diesel,1666,4456,1735,SUV,5,16.2,7,7,Manual,223,2
628,959860,2498,4,60,Diesel,1930,3920,1726,SUV,3,93.25,5,6,Manual,600,0
629,999148,2498,4,60,Diesel,1930,3920,1726,SUV,3,93.25,5,6,Manual,600,0
630,974860,2498,4,60,Diesel,1930,3920,1726,SUV,3,93.25,5,6,Manual,600,0
